Timestamp,Price (USD),Market Cap (USD),Fully Diluted Market Cap (USD),24h Volume (USD)
2024-04-16 01:02:26,0.5984256738082959,415537573.53277296,413108300.81509674,10658650.535358217
2024-04-16 02:02:36,0.6082228557729031,420026806.8985777,419871542.05175483,10335870.32832395
2024-04-16 03:03:40,0.564817293243195,393172406.0322691,389907590.02332735,10158077.496719092
2024-04-16 04:02:57,0.498722020595479,370238362.08582735,344280360.1592634,10504365.015707972
2024-04-16 05:03:04,0.5152233714026968,337125499.4085988,355671657.8449762,12407148.068483708
2024-04-16 06:03:03,0.5294168366611297,369795907.79843646,365469764.06303877,12978988.758013546
2024-04-16 07:02:49,0.558385612827524,375348837.9829388,385467639.19201535,13295146.030786615
2024-04-16 08:03:03,0.570744417919418,388166448.9144895,393999233.33156234,13640766.061672127
2024-04-16 09:02:43,0.5435019740236484,377961634.78090173,375193088.80869687,13502754.985005537
2024-04-16 10:04:16,0.530408563006267,366969496.48066866,366154377.71389705,13650349.74096825
2024-04-16 11:01:04,0.5016284423983084,346790567.7266099,346286736.26404834,13136072.130822783
2024-04-16 12:00:23,0.5189128208577001,356653250.2533314,358218577.6413816,13544428.941919023
2024-04-16 13:00:48,0.5363167407793151,364477722.883121,370232941.49810946,13884828.241041731
2024-04-16 14:04:40,0.5156754073966364,355070013.36423105,355983709.6661745,13805433.195476983
2024-04-16 15:05:35,0.5117013101513441,365148857.1189177,353240290.3375402,13670169.813812258
2024-04-16 16:03:14,0.45666913508202844,315339285.82589793,315250195.1125703,13586749.234761998
2024-04-16 17:03:07,0.47977972395802554,313463865.81072897,331204016.145419,14743622.701015122
2024-04-16 18:03:16,0.5356366918769521,368569018.53114736,369763486.6287377,14775313.857734153
2024-04-16 19:03:45,0.5376020114532135,376478091.3316623,371120196.1855675,14281601.89420211
2024-04-16 20:03:23,0.5327549281600972,364491460.40635055,367774132.62117237,13081678.052501114
2024-04-16 21:03:16,0.5735879896924932,390943535.8259115,395962222.4793127,13421762.704826185
2024-04-16 22:02:27,0.6099169467865436,429167656.6695711,421041015.7068831,13875331.161718268
